language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.363920356,-0.292043457,1,0,0,1.8068,gr_flag,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,10,2.047,0.423062202,-0.403872342,1,0,0,next_trial_button,0,20,20,53,1,landscape,invisiblesun,yesclouds,6,"750.0695023630803,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,5.582,0.403854574,-0.420168525,1,0,0,next_trial_button,0,21,21,50,1,beach,visiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,10,2.0957,0.415601264,-0.398173964,1,0,0,next_trial_button,0,22,22,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,7.2927,0.485437554,-0.424528876,1,0,0,next_trial_button,0,23,23,58,1,beach,visiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,3.5475,0.324440443,-0.405692342,1,0,0,next_trial_button,0,24,24,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,2.4333,0.411119249,-0.418841688,1,0,0,next_trial_button,0,25,25,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,10,2.082,0.372363281,-0.422722168,1,0,0,next_trial_button,0,26,26,37,1,landscape,invisiblesun,yesclouds,4,"669.4214876033058,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.1313,0.365265299,-0.405595025,1,0,0,next_trial_button,0,27,27,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,3.7961,0.339114855,-0.411387939,1,0,0,next_trial_button,0,28,28,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-01_18h03.07.507,online_experiment,2021.1.4,MacIntel,60.0024001,IwAR3OefHsINwl9Cp4o7IIRkA3Gz7D5SVt6EdMVpono_UxMi4UzbKrUeLPLWo,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,3.9464,0.347468804,-0.406261597,1,0,0,next_trial_button,0,29,29,11,1,beach,visiblesun,yesclouds,1,"989.8132427843803,500",
